"POSITION_ID";"POSITION_TYPE_ID";"DEPARTMENT_NAME";"NAME";"POSITION_TYPE";"STUDY_FORM";"PLAN_NAB";"PREDM";"CATEGORY";"ID_PREDM";"PREDM_EGE_ID";"EKZ_ORDER";"U_VUZ_SHORT"
"20200236";"3";"Факультет компьютерных наук";"Социология";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200237";"3";"Физический факультет ";"Прикладные математика и физика  (профиль: Вычислительная физика и информационные технологии)";"ПЛАТ";"Очная";"15";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200238";"3";"Физический факультет ";"Физика (профиль: Физика высоких технологий)";"ПЛАТ";"Очная";"15";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200239";"3";"Физический факультет ";"Радиофизика (профиль: Информационные процессы и системы)";"ПЛАТ";"Очная";"15";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200240";"3";"Физический факультет ";"Биотехнические системы и технологии (профиль: Биотехнические системы и технологии в медицине и экологии)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200249";"3";"Исторический факультет";"Антропология и этнология";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200250";"3";"Исторический факультет";"Музеология и охрана объектов культурного и природного наследия";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200251";"3";"Факультет культуры и искусств";"Народная художественная культура (профиль: Руководство студией кино-, фото-, видеотворчества)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200259";"3";"Факультет культуры и искусств";"Вокальное искусство (профиль: Академическое пение)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200260";"3";"Факультет культуры и искусств";"Искусство народного пения (профиль: Хоровое народное пение)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200261";"3";"Факультет культуры и искусств";"Дирижирование (профиль: Дирижирование академическим хором)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200262";"3";"Факультет культуры и искусств";"Музыкознание и музыкально-прикладное искусство (профиль: Музыкальная педагогика)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200263";"3";"Факультет культуры и искусств";"Режиссура кино и телевидения (специализация: Режиссер мультимедиа, педагог)";"ПЛАТ";"Очная";"30";"Русский язык";"С";"2020078";"01";"3";"СПЕЦ"
"20200264";"3";"Экономический факультет";"Экономика (профили: Мировая экономика, Цифровая экономика)";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200265";"3";"Экономический факультет";"Менеджмент (профили: Интернет-маркетинг, Маркетинг)";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200266";"3";"Факультет филологии и медиакоммуникаций";"Реклама и связи с общественностью (профиль: Реклама и связи с общественностью в коммерческой сфере)";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200267";"3";"Факультет психологии ";"Психология";"ПЛАТ";"Очная";"75";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200268";"3";"Факультет психологии ";"Организация работы с молодежью (профиль: Социально-гуманитарные технологии сопровождения молодежных инициатив)";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200269";"3";"Факультет теологии, философии и мировых культур";"Прикладная этика (профиль: Бизнес-этика)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200270";"3";"Факультет теологии, философии и мировых культур";"Теология";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200271";"3";"Факультет физической культуры, реабилитации и спорта";"Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура) (профиль: Лечебная физическая культура)";"ПЛАТ";"Очная";"25";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200272";"3";"Факультет филологии и медиакоммуникаций";"Реклама и связи с общественностью (профиль: Современные медиатехнологии)";"ПЛАТ";"Очная";"50";"История";"Б";"2020073";"06";"3";"БАК"
"20200273";"3";"Факультет филологии и медиакоммуникаций";"Журналистика";"ПЛАТ";"Очная";"75";"Обществознание";"Б";"2020076";"11";"3";"БАК"
"20200274";"3";"Факультет филологии и медиакоммуникаций";"Филология";"ПЛАТ";"Очная";"35";"Обществознание";"Б";"2020076";"11";"3";"БАК"
"20200275";"3";"Факультет филологии и медиакоммуникаций";"Туризм (профиль: Туризм и переводческая деятельность)";"ПЛАТ";"Очная";"50";"История";"Б";"2020073";"06";"3";"БАК"
"20200276";"3";"Факультет филологии и медиакоммуникаций";"Библиотечно-информационная деятельность (профиль: Информационно-аналитическая деятельность)";"ПЛАТ";"Очная";"50";"Обществознание";"Б";"2020076";"11";"3";"БАК"
"20200277";"3";"Экономический факультет";"Экономика (профили: Финансы и кредит; Налоги и налогообложение; Бухгалтерский учет, анализ и аудит)";"ПЛАТ";"Очная";"200";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200278";"3";"Экономический факультет";"Менеджмент (профили: Управление проектами и процессами развития организаций; Менеджмент организации)";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200279";"3";"Экономический факультет";"Управление персоналом";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200280";"3";"Экономический факультет";"Государственное и муниципальное управление";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200281";"3";"Экономический факультет";"Бизнес-информатика";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200282";"3";"Экономический факультет";"Инноватика (профиль: Предпринимательство в сфере современных технологий)";"ПЛАТ";"Очная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200283";"3";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"ПЛАТ";"Очная";"350";"История";"Б";"2020073";"06";"3";"БАК"
"20200284";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Судебная деятельность)";"ПЛАТ";"Очная";"200";"История";"С";"2020073";"06";"3";"СПЕЦ"
"20200285";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Прокурорская деятельность)";"ПЛАТ";"Очная";"200";"История";"С";"2020073";"06";"3";"СПЕЦ"
"20200286";"1";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"БЮДЖ";"Очно-заочная";"19";"История";"Б";"2020073";"06";"3";"БАК"
"20200287";"3";"Факультет психологии ";"Психология";"ПЛАТ";"Очно-заочная";"75";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200288";"3";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"ПЛАТ";"Очно-заочная";"200";"История";"Б";"2020073";"06";"3";"БАК"
"20200289";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Судебная деятельность)";"ПЛАТ";"Очно-заочная";"150";"История";"С";"2020073";"06";"3";"СПЕЦ"
"20200290";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Прокурорская деятельность)";"ПЛАТ";"Очно-заочная";"150";"История";"С";"2020073";"06";"3";"СПЕЦ"
"20200291";"1";"Исторический факультет";"Педагогическое образование (с двумя профилями подготовки) (профиль: Педагогическое образование.История и обществознание)";"БЮДЖ";"Заочная";"21";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200292";"3";"Факультет компьютерных наук";"Информатика и вычислительная техника  (профиль: Компьютерные сети и телекоммуникации)";"ПЛАТ";"Заочная";"150";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200293";"3";"Химический факультет";"Химическая технология (профиль: Химическая технология природных энергоносителей и углеродных материалов)";"ПЛАТ";"Заочная";"75";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200294";"3";"Исторический факультет";"Социальная работа";"ПЛАТ";"Заочная";"75";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200295";"3";"Исторический факультет";"Педагогическое образование (с двумя профилями подготовки) (профиль: Педагогическое образование.История и обществознание)";"ПЛАТ";"Заочная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200296";"3";"Исторический факультет";"История";"ПЛАТ";"Заочная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200297";"3";"Исторический факультет";"Документоведение и архивоведение";"ПЛАТ";"Заочная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200267";"3";"Факультет психологии ";"Психология";"ПЛАТ";"Очная";"75";"Математика";"Б";"2020075";"02";"2";"БАК"
"20200268";"3";"Факультет психологии ";"Организация работы с молодежью (профиль: Социально-гуманитарные технологии сопровождения молодежных инициатив)";"ПЛАТ";"Очная";"50";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200269";"3";"Факультет теологии, философии и мировых культур";"Прикладная этика (профиль: Бизнес-этика)";"ПЛАТ";"Очная";"30";"История";"Б";"2020073";"06";"2";"БАК"
"20200270";"3";"Факультет теологии, философии и мировых культур";"Теология";"ПЛАТ";"Очная";"30";"История";"Б";"2020073";"06";"2";"БАК"
"20200271";"3";"Факультет физической культуры, реабилитации и спорта";"Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура) (профиль: Лечебная физическая культура)";"ПЛАТ";"Очная";"25";"Биология";"Б";"2020069";"05";"2";"БАК"
"20200272";"3";"Факультет филологии и медиакоммуникаций";"Реклама и связи с общественностью (профиль: Современные медиатехнологии)";"ПЛАТ";"Очная";"50";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200273";"3";"Факультет филологии и медиакоммуникаций";"Журналистика";"ПЛАТ";"Очная";"75";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200274";"3";"Факультет филологии и медиакоммуникаций";"Филология";"ПЛАТ";"Очная";"35";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200275";"3";"Факультет филологии и медиакоммуникаций";"Туризм (профиль: Туризм и переводческая деятельность)";"ПЛАТ";"Очная";"50";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200276";"3";"Факультет филологии и медиакоммуникаций";"Библиотечно-информационная деятельность (профиль: Информационно-аналитическая деятельность)";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200277";"3";"Экономический факультет";"Экономика (профили: Финансы и кредит; Налоги и налогообложение; Бухгалтерский учет, анализ и аудит)";"ПЛАТ";"Очная";"200";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200278";"3";"Экономический факультет";"Менеджмент (профили: Управление проектами и процессами развития организаций; Менеджмент организации)";"ПЛАТ";"Очная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200279";"3";"Экономический факультет";"Управление персоналом";"ПЛАТ";"Очная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200280";"3";"Экономический факультет";"Государственное и муниципальное управление";"ПЛАТ";"Очная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200281";"3";"Экономический факультет";"Бизнес-информатика";"ПЛАТ";"Очная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200282";"3";"Экономический факультет";"Инноватика (профиль: Предпринимательство в сфере современных технологий)";"ПЛАТ";"Очная";"150";"Информатика и ИКТ";"Б";"2020072";"12";"2";"БАК"
